piece_name,composer,key,measures_total,file_path,time_signature_raw,time_signature_flat,entity_type,start_bar,end_bar,span_bars,voices,voices_str,confidence,example,justification,piece_id
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,2,5,4,['V0'],V0,high,f#8 | d'4. c'#8 b a# | c'#4. b8 d e | g f# b f# e d | d4 c#8 f# a# b,"In V0, bars 2–5 form a continuous, rhythmically characteristic idea: the initial pickup f#8 leads into two bars of dotted-quarter–eighth patterns (bars 2–3), followed by a contrasting but connected continuation in bars 4–5. The same four-bar configuration (with small internal pitch/rhythm variants) is clearly restated in 10–13, confirming its status as the main thematic unit.",16
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,6,8,3,['V0'],V0,medium-high,d'4. c'#8 b a# | c'#4. b8 d e | f# a g a#~ d c#,"V0 bars 6–8 present a shortened restatement of the thematic material: bars 6–7 closely match the rhythm and contour of bars 2–3, and bar 8 provides a varied continuation analogous in function to bars 4–5. The three-bar span is clearly coherent and recognizably derived from the earlier four-bar theme.",16
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,10,13,4,['V0'],V0,high,d'4. c'#8 b a# | c'#4. b8 d e | g f# b f# e d | d4~ d8 c# f# a#,"V0 bars 10–13 closely parallel bars 2–5 in length, rhythm, and general melodic outlining: the same dotted-quarter–eighth openings in bars 10–11 correspond to 2–3, and bars 12–13 fulfill the same continuation role as 4–5 with only minor variation in bar 13. This constitutes a clear thematic restatement.",16
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,14,16,3,['V0'],V0,medium-high,d'4. c'#8 b a# | c'#4. b8 d e | f# a g f# a#~ d c#,"In V0, bars 14–16 again reproduce the thematic pattern of 6–8: bars 14–15 match the earlier dotted-quarter–eighth figures, and bar 16 supplies a varied continuation. The three-bar unit is clearly a further thematic restatement.",16
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,2,2,1,['V0'],V0,high,d'4. c'#8 b a#,"The bar-2 figure d'–c'#–b–a# in V0, with a dotted-quarter–eighth followed by two eighths, is a compact cell that recurs literally in bars 6, 10, and 14. Its consistent rhythmic profile and contour across these bars mark it as a clear motivic unit.",16
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,3,3,1,['V0'],V0,high,c'#4. b8 d e,"The bar-3 figure c'#–b–d–e in V0, again with a dotted-quarter–eighth start, is repeated with the same rhythm and intervallic pattern in bars 7, 11, and 15. This repetition as a self-contained cell supports its identification as a distinct motif.",16
Valse mélancolique,LYSENKO,b minor,17,tiny-dataset-first-iteration/LYSENKO_Valse_mélancolique_1-16.musicxml,{'Фортепіано': ['3/4']},3/4,PHRASE,2,5,4,"['V0', 'V2', 'V3']","V0,V2,V3",medium-high,f#8 | d'4. c'#8 b a# | c'#4. b8 d e | g f# b f# e d | d4 c#8 f# a# b || r8 | aA#4 <f# c# e> <f# c# e> | bB <f# b d> <f# b> | r <f# b> <g b> | <f# b>~ <f# a#>8 r r4 || | | | d2 e4 |,"Bars 2–5 form a continuous four-bar unit: V0 carries an unbroken melodic line from the pickup to the end of bar 5, V2 provides steady chordal support, and V3 enters at bar 4 to reinforce the texture. The onset of a clear restatement of the same material at bar 6 marks a plausible phrase boundary after bar 5.",16
Mazurka,LYSENKO,c minor,17,tiny-dataset-first-iteration/LYSENKO_Mazurka_75-91.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,1,5,5,['V0'],V0,medium-high,g'8 c'' g'4 f'8 c' | f' c'' f'4 e'8 b | d' e' f' a' g' r16 g'~ | g'8 g' f'4 e'-8 d' | c' e'- d'4 a-8 g,"In V0 bars 1–5 the upper voice presents a continuous, prominent line with a consistent 3/4 rhythmic shaping and a clearly bounded ascent–descent contour, distinguishable from the following material.",5
Mazurka,LYSENKO,c minor,17,tiny-dataset-first-iteration/LYSENKO_Mazurka_75-91.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,6,7,2,['V0'],V0,high,an c' b- c e- b- | f# an g4. g-8,"In V0 bars 6–7 the short chromatic figure built around an–c'–b-–c and its continuation to e- and f#–an–g forms a compact, clearly profiled idea that is later exactly repeated.",5
Mazurka,LYSENKO,c minor,17,tiny-dataset-first-iteration/LYSENKO_Mazurka_75-91.musicxml,{'Фортепіано': ['3/4']},3/4,MOTIF,14,15,2,['V0'],V0,high,an c' b- c e- b- | f# an g4. g-8,"V0 bars 14–15 reproduce the chromatic figure from bars 6–7 with the same pitches and rhythm, confirming it as an intentional recurring motive.",5
Mazurka,LYSENKO,c minor,17,tiny-dataset-first-iteration/LYSENKO_Mazurka_75-91.musicxml,{'Фортепіано': ['3/4']},3/4,THEME,8,12,5,['V0'],V0,medium-high,<d f> g' f'4 e'-8 d' | c' e'- d'8. g16 c'4 | bn8 d' c'8. g16 b-4 | f#8 b- an d g4 | b'-8 g' f'# e'- d' c'~,"In V0 bars 8–12 the melody forms a continuous, contrasting idea characterized by upbeat-like figures into longer tones and a directed motion toward b' then back to c', clearly separated from the preceding phrase.",5
Nocturne,LYSENKO,c# minor,17,tiny-dataset-first-iteration/LYSENKO_Nocturne_1-16.musicxml,{'Фортепіано': ['4/4']},4/4,THEME,2,4,3,['V0'],V0,medium-high,d'#8 c'# c'#16 d'# c'#8 g# f# g# c'#8. a16 | g#8 c#16 d# e4. e'8 e' d'n | d'n16 e' d'8 c'# c'# g# b a trip{c'#} trip{e} trip{a},"Bars 2–4 in V0 form a continuous, rhythmically and melodically coherent span beginning with an upbeat figure to c'#, continuing with the rising g#–c#–d#–e–e' gesture in bar 3, and concluding with the characteristic d'–e'–d' motion and triplet arpeggiation in bar 4. This same three‑bar span is clearly restated later, confirming its thematic role.",7
